subject_id,subject_category,subject_label,subject_type,predicate_id,predicate_label,object_id,object_category,object_label,object_type,mapping_justification,comment,license,mapping_date,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,term_local_name,compound_name,term_iri
http://rs.tdwg.org/ltc/terms/hasIdentifier,EcologicalContext,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasIdentifier,EcologicalContext.hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,EcologicalContext,Has Measurement Or Fact,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasMeasurementOrFact,EcologicalContext.hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,EcologicalContext,Has Reference,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasReference,EcologicalContext.hasReference,http://rs.tdwg.org/ltc/terms/hasReference
http://rs.tdwg.org/ltc/terms/Event,Event,Event,rdfs class,http://www.w3.org/2004/02/skos/core#closeMatch,closeMatch,http://rs.tdwg.org/dwc/terms/Event,Event,Event,rdf property,"Concepts align, but the LtC class adds class-level properties.",,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,Event,Event.Event,http://rs.tdwg.org/ltc/terms/Event
http://rs.tdwg.org/ltc/terms/eventName,Event,Event Name,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/title,DCMI Metadata Terms,Title,rdf property,LtC narrows scope to the title of an Event.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,eventName,Event.eventName,http://rs.tdwg.org/ltc/terms/eventName
http://rs.tdwg.org/ltc/terms/hasEcologicalContext,Event,Has Ecological Context,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasEcologicalContext,Event.hasEcologicalContext,http://rs.tdwg.org/ltc/terms/hasEcologicalContext
http://rs.tdwg.org/ltc/terms/hasGeographicContext,Event,Has Geographic Context,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasGeographicContext,Event.hasGeographicContext,http://rs.tdwg.org/ltc/terms/hasGeographicContext
http://rs.tdwg.org/ltc/terms/hasIdentifier,Event,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasIdentifier,Event.hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,Event,Has Measurement Or Fact,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasMeasurementOrFact,Event.hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasParentEvent,Event,Has Parent Event,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasParentEvent,Event.hasParentEvent,http://rs.tdwg.org/ltc/terms/hasParentEvent
