namespace,class_name,term_local_name,datatype,compound_name
ltc:,ObjectGroup,hasEvent,array<ltc:Event>,ObjectGroup.hasEvent
ltc:,ObjectGroup,hasGeographicContext,array<ltc:GeographicContext>,ObjectGroup.hasGeographicContext
ltc:,ObjectGroup,hasGeologicalContext,array<ltc:GeologicalContext>,ObjectGroup.hasGeologicalContext
ltc:,ObjectGroup,hasIdentifier,array<ltc:Identifier>,ObjectGroup.hasIdentifier
ltc:,ObjectGroup,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,ObjectGroup.hasMeasurementOrFact
ltc:,ObjectGroup,hasObjectClassification,array<ltc:ObjectClassification>,ObjectGroup.hasObjectClassification
ltc:,ObjectGroup,hasOrganisationalUnit,array<ltc:OrganisationalUnit>,ObjectGroup.hasOrganisationalUnit
ltc:,ObjectGroup,hasPersonRole,array<ltc:PersonRole>,ObjectGroup.hasPersonRole
ltc:,ObjectGroup,hasReference,array<ltc:Reference>,ObjectGroup.hasReference
ltc:,ObjectGroup,hasResourceRelationship,array<ltc:ResourceRelationship>,ObjectGroup.hasResourceRelationship
ltc:,ObjectGroup,hasStorageLocation,array<ltc:StorageLocation>,ObjectGroup.hasStorageLocation
ltc:,ObjectGroup,hasTaxon,array<ltc:Taxon>,ObjectGroup.hasTaxon
ltc:,ObjectGroup,isCurrentCollection,boolean,ObjectGroup.isCurrentCollection
ltc:,ObjectGroup,isKnownToContainTypes,boolean,ObjectGroup.isKnownToContainTypes
ltc:,ObjectGroup,material,list,ObjectGroup.material
ltc:,ObjectGroup,objectType,list,ObjectGroup.objectType
ltc:,ObjectGroup,period,list,ObjectGroup.period
ltc:,ObjectGroup,preparationType,list,ObjectGroup.preparationType
ltc:,ObjectGroup,preservationMethod,list,ObjectGroup.preservationMethod
ltc:,ObjectGroup,preservationMode,list,ObjectGroup.preservationMode
ltc:,ObjectGroup,typeOfObjectGroup,list,ObjectGroup.typeOfObjectGroup
ltc:,OrganisationalUnit,hasAddress,array<ltc:Address>,OrganisationalUnit.hasAddress
ltc:,OrganisationalUnit,hasContactDetail,array<ltc:ContactDetail>,OrganisationalUnit.hasContactDetail
ltc:,OrganisationalUnit,hasIdentifier,array<ltc:Identifier>,OrganisationalUnit.hasIdentifier
ltc:,OrganisationalUnit,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,OrganisationalUnit.hasMeasurementOrFact
ltc:,OrganisationalUnit,hasParentOrganisationalUnit,array<ltc:OrganisationalUnit>,OrganisationalUnit.hasParentOrganisationalUnit
ltc:,OrganisationalUnit,hasPersonRole,array<ltc:PersonRole>,OrganisationalUnit.hasPersonRole
ltc:,OrganisationalUnit,hasReference,array<ltc:Reference>,OrganisationalUnit.hasReference
ltc:,OrganisationalUnit,organisationalUnitName,string,OrganisationalUnit.organisationalUnitName
ltc:,OrganisationalUnit,organisationalUnitType,string,OrganisationalUnit.organisationalUnitType
schema:,Person,additionalName,string,Person.additionalName
