iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,abcd_equivalence,flags
http://rs.tdwg.org/dwc/terms/version/resourceRelationshipID-2023-06-28,resourceRelationshipID,Resource Relationship ID,"An identifier for an instance of relationship between one resource (the subject) and another (dwc:relatedResource, the object).",,`04b16710-b09c-11e8-96f8-529269fb1459`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/resourceRelationshipID-2018-09-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,not in ABCD,extension
http://dublincore.org/usage/terms/history/#rightsT-001,rights,Rights,Information about rights held in and over the resource.,"Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.",,http://purl.org/dc/terms/,1/14/2008,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/rights,not in ABCD,
http://rs.tdwg.org/dwc/terms/version/Sample-2008-11-19,Sample,Sample,"Container class for information about the results of a sampling event (specimen, observation, etc.)",,,,11/19/2008,deprecated,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/Sample,DataSets/DataSet/Units/Unit,
http://rs.tdwg.org/dwc/terms/version/SampleAttribute-2008-11-19,SampleAttribute,Sample Attribute,Container class for information about attributes related to a given sample.,,,,11/19/2008,deprecated,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/terms/SampleAttribute,Datasets/Dataset/Units/Unit/MeasurementsOrFacts,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeAccuracy-2009-01-18,SampleAttributeAccuracy,Sample Attribute Accuracy,The description of the error associated with the SampleAttributeValue.,"Example: ""0.01"", ""normal distribution with variation of 2 m""",,http://rs.tdwg.org/dwc/terms/SampleAttribute,1/18/2009,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeAccuracy,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Accuracy,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeDeterminedBy-2009-01-23,SampleAttributeDeterminedBy,Sample Attribute Determined By,The agent responsible for having determined the value of the measurement or characteristic of the sample.,"Example: ""Javier de la Torre""",,http://rs.tdwg.org/dwc/terms/SampleAttribute,1/23/2009,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedBy,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeDeterminedDate-2009-01-23,SampleAttributeDeterminedDate,Sample Attribute Determined Date,The date on which the the measurement or characteristic of the sample was made.,"Date may be used to express temporal information at any level of granularity. Recommended best practice is to use an encoding scheme, such as the W3CDTF profile of ISO 8601 [W3CDTF].",,http://rs.tdwg.org/dwc/terms/SampleAttribute,1/23/2009,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeDeterminedDate,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasurementDateTime,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeRemarks-2008-11-19,SampleAttributeRemarks,Sample Attribute Remarks,Comments or notes accompanying the measurement or characteristic of the sample.,"Example: ""tip of tail missing""",,http://rs.tdwg.org/dwc/terms/SampleAttribute,11/19/2008,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeRemarks,not in ABCD,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeUnit-2008-11-19,SampleAttributeUnit,Sample Attribute Unit,The units for the value of the measurement or characteristic of the sample. Recommended best practice is to use International System of Units (SI) units.,"Example: ""mm""",,http://rs.tdwg.org/dwc/terms/SampleAttribute,11/19/2008,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeUnit,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UnitOfMeasurement,
http://rs.tdwg.org/dwc/terms/version/SampleAttributeValue-2008-11-19,SampleAttributeValue,Sample Attribute Value,The value of the measurement or characteristic of the sample.,"Example: ""45""",,http://rs.tdwg.org/dwc/terms/SampleAttribute,11/19/2008,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleAttributeValue,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/LowerValue or DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UpperValue,
http://rs.tdwg.org/dwc/terms/version/SampleRemarks-2009-01-18,SampleRemarks,Sample Remarks,Comments or notes about the sample or record.,"Example: ""found dead on road""",,http://rs.tdwg.org/dwc/terms/Sample,1/18/2009,deprecated,http://rs.tdwg.org/dwc/dwcore/version/Remarks-2007-04-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/SampleRemarks,DataSets/DataSet/Units/Unit/Notes,
